,publisher,topic,total_time_seconds,type,setup
38,10.0.0.16,B,0.4239082336425781,direct,four_pub_four_sub
39,10.0.0.21,B,1.5201568603515625,direct,four_pub_four_sub
40,10.0.0.11,C,1.0676383972167967,direct,four_pub_four_sub
41,10.0.0.16,C,1.0819435119628906,direct,four_pub_four_sub
42,10.0.0.1,B,1.0693073272705078,direct,four_pub_four_sub
43,10.0.0.21,C,0.8111000061035156,direct,four_pub_four_sub
44,10.0.0.1,C,0.8523464202880858,direct,four_pub_four_sub
45,10.0.0.11,B,1.125335693359375,direct,four_pub_four_sub
46,10.0.0.16,B,0.47850608825683605,direct,four_pub_four_sub
0,10.0.0.21,C,0.2932548522949219,direct,four_pub_four_sub
1,10.0.0.1,C,0.7178783416748048,direct,four_pub_four_sub
2,10.0.0.11,B,0.6053447723388673,direct,four_pub_four_sub
3,10.0.0.16,B,0.6184577941894531,direct,four_pub_four_sub
4,10.0.0.21,B,0.39458274841308594,direct,four_pub_four_sub
5,10.0.0.11,C,0.5867481231689452,direct,four_pub_four_sub
6,10.0.0.16,C,0.4451274871826172,direct,four_pub_four_sub
7,10.0.0.1,B,0.6644725799560548,direct,four_pub_four_sub
8,10.0.0.21,C,0.5269050598144531,direct,four_pub_four_sub
9,10.0.0.1,C,1.117229461669922,direct,four_pub_four_sub
10,10.0.0.11,B,0.4267692565917969,direct,four_pub_four_sub
11,10.0.0.16,B,0.4210472106933594,direct,four_pub_four_sub
12,10.0.0.21,B,0.6747245788574219,direct,four_pub_four_sub
13,10.0.0.11,C,0.3697872161865233,direct,four_pub_four_sub
14,10.0.0.16,C,0.5860328674316406,direct,four_pub_four_sub
15,10.0.0.1,B,0.5807876586914062,direct,four_pub_four_sub
16,10.0.0.21,C,0.5590915679931642,direct,four_pub_four_sub
17,10.0.0.1,C,1.0578632354736328,direct,four_pub_four_sub
18,10.0.0.11,B,0.4558563232421875,direct,four_pub_four_sub
19,10.0.0.16,B,0.6511211395263673,direct,four_pub_four_sub
20,10.0.0.21,B,0.54168701171875,direct,four_pub_four_sub
21,10.0.0.11,C,1.2140274047851562,direct,four_pub_four_sub
22,10.0.0.16,C,0.9372234344482422,direct,four_pub_four_sub
23,10.0.0.1,B,1.0523796081542967,direct,four_pub_four_sub
24,10.0.0.21,C,0.8075237274169923,direct,four_pub_four_sub
25,10.0.0.1,C,0.7507801055908202,direct,four_pub_four_sub
